Genes,Importances
RN7SL322P,0.000667705
ZFP36L1,0.000667264
TREH,0.000667128
ARFGAP1,0.000665943
USP43,0.000665361
LINC02290,0.000664989
ACAA1,0.000664724
F9,0.000663968
BICDL2,0.000663423
GALNT15,0.000661845
RILP,0.00066147
ABCB11,0.000661308
TIMP2,0.000661194
TPGS1,0.000661097
C16orf89,0.000660995
RNFT1,0.000660593
SPATA6,0.000659805
ADGB,0.000657923
EPHX4,0.000657737
MYCT1,0.000657637
SIX2,0.000656872
NLRP3P1,0.000656329
LHFPL2,0.000653834
PLN,0.000653602
SURF6,0.000653523
RAP1A,0.000653458
RPS6KA5,0.000652879
C8orf33,0.000652831
TXLNA,0.000652757
PBDC1,0.000652308
HOXB8,0.000651951
PGAM1,0.000651947
USH2A,0.000651648
CDC25C,0.000651595
CDH18-AS1,0.000651513
RNU6-1108P,0.000651417
ORMDL3,0.000650907
SH2B3,0.000650901
ARHGAP4,0.000650299
STXBP1,0.000649714
RNU1-61P,0.000649564
GPR180,0.00064952
LYG1,0.000648923
RPS6P23,0.000647837
WWTR1,0.000647504
RN7SL652P,0.000647457
LINC02333,0.000647338
DCAF12L1,0.000647185
COQ2,0.000647075
RBPJL,0.000646872
FAM120C,0.000645672
ASPG,0.00064566
CHDH,0.000645635
LINC02721,0.000645507
MIR205HG,0.000644547
CTSB,0.000644435
NPDC1,0.00064425
ZNF547,0.000643786
ADAM5,0.000642904
PTMAP11,0.000642738
DNAJC30,0.000642726
PLXNB1,0.000642169
ARPP19,0.000642141
POU2F2,0.000642092
PLD5,0.000640955
FBLN2,0.000640323
SFRP5,0.000639481
UBE2D4,0.000639341
DDIT4L,0.00063895
BCL10,0.000638823
MSH5,0.000638668
DPP10-AS1,0.000637422
STX2,0.000636791
GPX6,0.000636778
DRG1,0.000635696
HDAC9,0.000635109
SLC2A2,0.000634681
EML1,0.000634493
MIR3689B,0.000633902
OR7E111P,0.000633801
LINC01046,0.000633784
HCK,0.000633579
MRC2,0.000633225
PPIB,0.000632862
KCNE5,0.000631904
OTOR,0.000631553
BUD23,0.000631329
CCDC125,0.000631194
KRTAP19-3,0.000630936
LRFN1,0.000630881
CEP41,0.000630877
LRRC4C,0.000630569
VWCE,0.000630136
SSPN,0.000629747
CD82,0.000629223
ADRB3,0.00062856
LPIN2,0.000628474
CRTC3,0.000626446
KIAA1324L,0.000625358
PEA15,0.000625122
LAMB1,0.000624439
CCT3,0.00062398
ELN,0.000623244
ZNF331,0.000623182
CLSPN,0.000622582
FOXO6-AS1,0.00062195
PPP6R2,0.000621508
VKORC1L1,0.000621144
PBX1,0.000620159
APOF,0.000619759
TSPAN12,0.000619622
PHKG1,0.000619407
MIR431,0.000619062
NSMCE3,0.000619015
TAS2R9,0.000618008
RPL7P60,0.000617984
UGT3A2,0.000617937
ISOC1,0.000617875
RABGGTB,0.000617446
DRD1,0.000617139
COX17,0.000616816
RN7SKP298,0.000616188
HNRNPA1P63,0.000616073
VKORC1,0.000614686
TDRD6,0.000613933
IK,0.000613337
TARS3,0.000613312
LINC01017,0.000613271
PPP1R3C,0.000612765
EDN2,0.000612325
RNU6-431P,0.000612266
PCYT1A,0.000612263
NECAB1,0.000612064
RSRP1,0.000611706
RWDD4P1,0.000611478
DNAH9,0.000611462
PTPRF,0.000611143
MBD4,0.000610809
IDS,0.000610386
TXNDC9,0.000608808
GZMK,0.000608584
CACFD1,0.000607743
TNR,0.000606882
GAS2L1P2,0.000606758
BSCL2,0.000606558
CCNO,0.000606419
NFKB1,0.000606309
RN7SL270P,0.000606131
ENOPH1,0.000606036
SLC12A6,0.000605426
MIR103A1,0.000604979
FOLR2,0.000604353
ADAP2,0.00060411
ZNF202,0.000604065
C6orf118,0.00060391
BBS1,0.000603283
TMPRSS2,0.000603002
EIF4A1P9,0.000602736
DDIT3,0.000602074
NOL3,0.000602071
DOP1B,0.00060199
HOXB-AS2,0.000601768
TBXT,0.000601167
STX4,0.000600461
SH3BGRL2,0.000599296
EBAG9,0.000599208
INE1,0.000598147
AGAP1,0.000597958
DEFB4B,0.00059787
RNU1-97P,0.000597407
CAPSL,0.000597197
RNF215,0.000597133
MAPKAPK5-AS1,0.000596845
ZBTB8B,0.000596769
ETS2,0.00059665
SLC22A8,0.000595362
MIR4314,0.000595123
PRMT3,0.00059473
REP15,0.000594113
CLDN19,0.000593811
ADD2,0.000592712
LINC01467,0.000591407
MIR5700,0.000591247
TLX1,0.000590481
KRTAP21-3,0.000590401
LINC02675,0.000589836
DCBLD2,0.00058966
SRI,0.000589497
NOXA1,0.000588377
ANKRD16,0.00058837
CEP162,0.000588292
ZSCAN22,0.000587771
RASIP1,0.000587672
TNIP3,0.000587556
TSHZ2,0.000587457
DUSP7,0.000587239
SELENBP1,0.000587076
GPATCH2,0.00058705
COL1A1,0.000586591
SHBG,0.000585655
EPS8L3,0.000585566
CALHM6,0.000585364
CFAP73,0.000585316
NSUN4,0.000585267
DDX17,0.000583124
BTBD7P2,0.000582771
RRAS2,0.00058216
TALDO1,0.000581868
MAGEA4,0.000581463
SLC12A7,0.000581351
C1orf74,0.000581205
PRDM16,0.000579588
RN7SKP248,0.000579564
STEAP4,0.000578265
CASP14,0.000578021
ADGRG4,0.000577803
DUTP7,0.000577673
TEX13B,0.000577306
ZNF827,0.000576363
FCRL2,0.0005763
RTN4IP1,0.000576001
XXYLT1-AS1,0.000575757
PIAS3,0.000574539
TTLL6,0.000574204
H3C8,0.000574057
SPINT1,0.000574051
DDC,0.000574009
MDH1,0.000573913
PPP2R2B,0.000573632
OR52Z1,0.000573302
MBOAT2,0.000572622
LONRF3,0.000572456
ZMYND10,0.000572233
KLHL24,0.000572179
GREB1L,0.000571663
CDNF,0.000571077
LCORL,0.000570748
SERF1A,0.000570435
SORCS2,0.000568104
TTC32,0.000567574
RNASEK,0.000566862
CLIC2,0.000566855
ZNF805,0.000566238
MARCHF4,0.0005659
FAM86MP,0.000565728
MESP2,0.000565559
DPCD,0.000564701
VNN2,0.000564588
OR4N1P,0.000563723
SELENOW,0.000563379
PGBD2,0.000563251
MED16,0.00056255
ARPC3P2,0.000561913
NTF3,0.00056152
CAMK4,0.000560962
AR,0.000560737
FAM220CP,0.000560637
IL13,0.000560564
ZNF445,0.00056053
CACNA1E,0.000559856
RASAL3,0.000559496
C9orf43,0.000559198
PTCD3,0.000559124
FBXL5,0.000558209
ADAM30,0.000557915
AP3B2,0.000557688
PRDM8,0.000557543
ROGDI,0.000557274
MTRNR2L3,0.000556886
REXO1L9P,0.000556001
PIGU,0.000554609
TRIM60,0.000554067
ZNF239,0.000553996
PECR,0.000553552
SLC22A14,0.000553183
CYTH3,0.000553075
MIER2,0.000552816
PML,0.000552286
EIF2S1,0.00055112
NOD2,0.000550983
MED8-AS1,0.000550763
EDNRA,0.000550595
GABRA6,0.00055054
CRPPA,0.000549878
TRAPPC4,0.000549703
HLA-DQA1,0.000548997
COL25A1,0.000548685
LCE3D,0.000548195
CDK16,0.000547864
COL13A1,0.000547813
IFI6,0.00054778
NPIPB6,0.000547357
LINC01895,0.000547258
FGD5,0.000546997
PAFAH1B2,0.000546643
YBEY,0.000546417
ERI1,0.000545868
HLA-J,0.00054554
BCDIN3D,0.000545245
HSBP1,0.000544288
OR5A2,0.000544053
UFSP2,0.000543995
ZNF100,0.000543945
EHD2,0.000543864
EPB41,0.00054323
KRT18P59,0.000542726
SLAIN1,0.000542307
RASAL1,0.000542264
PCGF1,0.000542255
C3orf20,0.000542093
TRAM1,0.000541924
ZNF620,0.000541083
SHCBP1,0.000540921
CRK,0.000540882
OR13F1,0.00054075
BCL7B,0.000540212
CYCSP11,0.000538561
OSBPL11,0.000538027
REG3A,0.00053731
CDH22,0.000536107
CTNNB1,0.000536051
EPAS1,0.00053538
TRAV9-1,0.000535187
DHX36,0.000535102
TMEM51,0.00053361
CACNA1I,0.000533468
DYNLL2,0.000532134
CSMD1,0.000531116
TSEN2,0.000530794
IGF2,0.000530519
POLE2,0.000530184
OR4K1,0.00052902
SNORD54,0.000527967
SMARCA4,0.000527967
HMSD,0.000527309
COL22A1,0.000526123
KATNAL2,0.000525983
CCDC88B,0.000525729
DNAJC18,0.000525481
MTCYBP7,0.000525386
PHIP,0.000525354
DNAJB8,0.000523881
REXO1,0.000523441
SNORA2A,0.000521524
CDC42SE1,0.000521488
ELOA3D,0.00051997
LAMA3,0.000519843
QKI,0.000519753
LILRB5,0.000519572
MAP4K5,0.000519571
MTHFSD,0.000519457
TMEM14C,0.000519375
KIAA2026,0.000519243
NAGA,0.000518469
TNFAIP8L2,0.00051841
CLNS1A,0.000517871
CSRNP2,0.000517208
ZC3H12C,0.000517176
DGKZP1,0.000517147
C1QBPP1,0.000516669
FAM117B,0.000516499
CGGBP1,0.000516286
NLRP7,0.000516257
TADA3,0.000515918
MYH16,0.000515475
LINC02134,0.000514824
GOLGA6L2,0.000514768
DEXI,0.000513954
RNU1-153P,0.000513374
SPATA2,0.000512827
SAP30,0.000512574
IRAK1BP1,0.000511883
MT-ND2,0.000510227
OR4C11,0.000510145
RRM1-AS1,0.000509899
HHEX,0.000509765
CHCHD6,0.000509752
PTGES3,0.000509417
RPSAP67,0.00050891
FN1,0.000508129
C1orf50,0.000507875
USP9YP20,0.000506249
CCDC152,0.000505425
IL17REL,0.000505107
CCT2,0.000504861
SIRT7,0.000504259
RNA5SP116,0.000504124
MT3,0.000504083
PDE8A,0.000503914
SLC45A4,0.000503865
ZNF148,0.00050371
RINT1,0.00050341
EDAR,0.00050281
RANGRF,0.000502105
RN7SL37P,0.000501603
SLC29A4,0.000501529
NBEAL1,0.000501304
UTP3,0.000500986
MYBL1,0.00050045
PIGT,0.000500372
MPC2,0.000499889
RAB13,0.000499552
ABTB2,0.000499408
TEFM,0.000499081
RESP18,0.000499015
RSAD1,0.000498352
PROM2,0.00049809
DONSON,0.000497951
RNF133,0.000497444
DNAJC17,0.000497251
CMTM7,0.000496916
S100A9,0.000496363
SP5,0.000495386
MOCS3,0.000495181
AZIN2,0.000494886
SKI,0.000494788
VSIG1,0.000494624
C9,0.000494338
HNRNPA1P9,0.000494012
POLG,0.00049397
ANPEP,0.000493785
TMC2,0.000493655
OTUD1,0.000493526
DUXAP8,0.000493122
GPR150,0.000492978
UBE4A,0.00049205
MEPE,0.000491427
CCN5,0.000491421
KCNE4,0.000491195
KAT6A,0.000491174
RPL6P12,0.000490391
CLPP,0.000490305
ST8SIA2,0.000489901
ZMYND12,0.000488506
LARS2,0.000487708
EPG5,0.000484823
TRMU,0.000484144
GSTM5,0.000483344
H4C5,0.000483064
OR9G4,0.00047971
SBF1,0.000478701
RHOXF2B,0.000478456
MIR7161,0.000477976
RNASEK-C17orf49,0.000477078
NCAM1-AS1,0.000475893
OR5AP2,0.000475879
THSD7A,0.000475367
NFAM1,0.000475331
GIT2,0.000474847
BAG1,0.000474807
BOLA2-SMG1P6,0.000474305
BAZ2A,0.000474018
LYPLAL1,0.000474015
TMEM30A,0.000473984
DDX19B,0.000473355
CFHR5,0.000473138
TRIM5,0.000472857
DCUN1D2,0.000472816
FNDC11,0.000472633
BEX2,0.000472625
GPR173,0.000472315
CYLD,0.000471973
ANAPC13,0.000471461
CITED4,0.000471411
ZIM3,0.000470953
GCSHP2,0.000469084
MIR6744,0.000468969
MRPL1,0.000468201
RPL7L1P4,0.000468132
OR10A6,0.000467317
DSTYK,0.000466793
GPRC5D,0.000466546
REEP6,0.000465863
ZNF182,0.000465352
DHRS7C,0.000464876
RABEPK,0.000464752
RSPH10B2,0.000464469
ACSM2B,0.000463816
TPSD1,0.000463566
SEPTIN4,0.000463143
HEXIM2,0.000463103
PHLPP1,0.000462727
LIMS1,0.000462713
MPC1,0.000462086
WDR41,0.000461908
KCNK16,0.000461725
CIR1,0.000460657
OSBPL6,0.000460415
TRBV8-2,0.000459857
RAB10,0.000459435
LGALS9,0.000459386
DNAJB11,0.000459344
TMEM45B,0.000459318
LCE2A,0.000459257
COL11A1,0.000458284
CSNK1G1,0.000457676
TRAV3,0.000457168
ZNF343,0.000456683
RAD23B,0.000456676
